Location,Property,"Area Serviced (choose all that apply)","Acres Salted","Blade Used","Submission Date","Submitted By","Assigned To"
"Sec 20 - Elk Grove Village North","1500 Higgins Rd","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/10/2016 02:31 AM","SnowPlus Staff","Ernie Vargas"
"Sec 20 - Elk Grove Village North","1723 Marshall","West Side       ","1/16 of lot ",no,"02/10/2016 02:29 AM","SnowPlus Staff","Ernie Vargas"
"Sec 28 - Naperville East","2012 Corporate","West Side       ,East Side       ","1/8 of lot",yes,"02/10/2016 02:07 AM","SnowPlus Staff","Scott Erickson"
"Sec 28 - Naperville East","Canterra Commons","North  Side       ,South Side      ,West Side       ","1/8 of lot",yes,"02/10/2016 01:52 AM","SnowPlus Staff","Scott Erickson"
"Sec 35 - Woodridge Industrial","10350 Beaudin",,"1/4 of lot",no,"02/10/2016 01:45 AM","SnowPlus Staff","Doug Hendon"
"Sec 07 - Bensenville","311 Richert","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/10/2016 01:42 AM","SnowPlus Staff","Ernie Vargas"
"Sec 07 - Bensenville","571-599 Edgewood","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/10/2016 01:42 AM","SnowPlus Staff","Ernie Vargas"
"Sec 07 - Bensenville","975-1001 Bryn Mawr","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/10/2016 01:41 AM","SnowPlus Staff","Ernie Vargas"
"Sec 19 - Elk Grove Village","1601 Pratt","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/10/2016 01:41 AM","SnowPlus Staff","Ernie Vargas"
"Sec 19 - Elk Grove Village","1501 Pratt","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/10/2016 01:41 AM","SnowPlus Staff","Ernie Vargas"
"Sec 19 - Elk Grove Village","1201 Kirk","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/10/2016 01:40 AM","SnowPlus Staff","Ernie Vargas"
"Sec 19 - Elk Grove Village","2901 Lively","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/10/2016 01:40 AM","SnowPlus Staff","Ernie Vargas"
"Sec 19 - Elk Grove Village","2521 Lively","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/10/2016 01:40 AM","SnowPlus Staff","Ernie Vargas"
"Sec 19 - Elk Grove Village","1201-1251 Mark","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/10/2016 01:39 AM","SnowPlus Staff","Ernie Vargas"
"Sec 19 - Elk Grove Village","1300 Mark","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/10/2016 01:39 AM","SnowPlus Staff","Ernie Vargas"
"Sec 19 - Elk Grove Village","1300 Mark","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/10/2016 01:39 AM","SnowPlus Staff","Ernie Vargas"
"Sec 19 - Elk Grove Village","1400 Mark","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/10/2016 01:39 AM","SnowPlus Staff","Ernie Vargas"
"Sec 19 - Elk Grove Village","1301-1401 Mark","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/10/2016 01:39 AM","SnowPlus Staff","Ernie Vargas"
"Sec 19 - Elk Grove Village","2781 Katherine","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/10/2016 01:39 AM","SnowPlus Staff","Ernie Vargas"
"Sec 19 - Elk Grove Village","1380-1410 Kirk","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/10/2016 01:39 AM","SnowPlus Staff","Ernie Vargas"
"Sec 19 - Elk Grove Village","1290 Thorndale","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/10/2016 01:38 AM","SnowPlus Staff","Ernie Vargas"
"Sec 19 - Elk Grove Village","1100 Thorndale","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/10/2016 01:38 AM","SnowPlus Staff","Ernie Vargas"
"Sec 19 - Elk Grove Village","2700 Carl","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/10/2016 01:38 AM","SnowPlus Staff","Ernie Vargas"
"Sec 19 - Elk Grove Village","1501 Pratt","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/10/2016 01:38 AM","SnowPlus Staff","Ernie Vargas"
"Sec 19 - Elk Grove Village","1290 Thorndale","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/10/2016 01:37 AM","SnowPlus Staff","Ernie Vargas"
"Sec 19 - Elk Grove Village","1100 Thorndale","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/10/2016 01:37 AM","SnowPlus Staff","Ernie Vargas"
"Sec 19 - Elk Grove Village","2700 Carl","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/10/2016 01:37 AM","SnowPlus Staff","Ernie Vargas"
"Sec 19 - Elk Grove Village","2800 Carl","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/10/2016 01:37 AM","SnowPlus Staff","Ernie Vargas"
"Sec 19 - Elk Grove Village","900 Thorndale","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/10/2016 01:37 AM","SnowPlus Staff","Ernie Vargas"
"Sec 19 - Elk Grove Village","2800 - 2900 Lively","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/10/2016 01:36 AM","SnowPlus Staff","Ernie Vargas"
"Sec 19 - Elk Grove Village","2800 - 2900 Lively","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/10/2016 01:36 AM","SnowPlus Staff","Ernie Vargas"
"Sec 07 - Bensenville","600-608 & 610-620 Supreme ( 2 bdgs)","West Side       ,East Side       ","1/16 of lot ",no,"02/10/2016 01:31 AM","SnowPlus Staff","Ernie Vargas"
"Sec 30 - Lisle / Warrenville","1000 & 1100 Warrenville","South Side      ,West Side       ","1/4 of lot",yes,"02/10/2016 01:31 AM","SnowPlus Staff","Scott Erickson"
"Sec 18 - Mt. Prospect-Glenview","1471 Business Center","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/10/2016 01:28 AM","SnowPlus Staff","Bobby Gomez"
"Sec 18 - Mt. Prospect-Glenview","1000 Milwaukee","North  Side       ,South Side      ,West Side       ,East Side       ","1/8 of lot",no,"02/10/2016 01:27 AM","SnowPlus Staff","Bobby Gomez"
"Sec 07 - Bensenville","630-650 Supreme","North  Side       ,West Side       ","1/16 of lot ",no,"02/10/2016 01:18 AM","SnowPlus Staff","Ernie Vargas"
"Sec 30 - Lisle / Warrenville","Univ. Tech Institute","North  Side       ,West Side       ","1/2 of lot",no,"02/10/2016 01:13 AM","SnowPlus Staff","Jose Legaspi"
"Sec 30 - Lisle / Warrenville","Univ. Tech Institute","North  Side       ,West Side       ","1/2 of lot",no,"02/10/2016 01:13 AM","SnowPlus Staff","Jose Legaspi"
"Sec 07 - Bensenville","971-991 Supreme","South Side      ,West Side       ","1/16 of lot ",no,"02/10/2016 01:07 AM","SnowPlus Staff","Ernie Vargas"
"Sec 17 - Lombard / Oakbrook","601 Oakmont","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/10/2016 01:03 AM","SnowPlus Staff","Greg Skonie"
"Sec 17 - Lombard / Oakbrook","The Crossings","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/10/2016 01:02 AM","SnowPlus Staff","Jim Rose"
"Sec 17 - Lombard / Oakbrook","2301-2311 22nd St","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/10/2016 01:02 AM","SnowPlus Staff","Greg Skonie"
"Sec 17 - Lombard / Oakbrook","1 S 450 Summit","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/10/2016 01:01 AM","SnowPlus Staff","Greg Skonie"
"Sec 17 - Lombard / Oakbrook","Oak brook International","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/10/2016 12:59 AM","SnowPlus Staff","Jim Rose"
"Sec 17 - Lombard / Oakbrook","Art Van - Butterfield","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/10/2016 12:59 AM","SnowPlus Staff","Greg Skonie"
"Sec 17 - Lombard / Oakbrook","Art Van - Butterfield","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/10/2016 12:59 AM","SnowPlus Staff","Greg Skonie"
"Sec 07 - Bensenville","950-990 Supreme","North  Side       ,South Side      ,East Side       ","1/16 of lot ",no,"02/10/2016 12:56 AM","SnowPlus Staff","Ernie Vargas"
"Sec 17 - Lombard / Oakbrook","Avery School","North  Side       ,South Side      ,West Side       ,East Side       ","1/2 of lot",no,"02/10/2016 12:51 AM","SnowPlus Staff","Jose Legaspi"
"Sec 07 - Bensenville","595-601 Supreme","East Side       ","1/16 of lot ",no,"02/10/2016 12:34 AM","SnowPlus Staff","Ernie Vargas"
"Sec 07 - Bensenville","645-651 Supreme","West Side       ,East Side       ","1/16 of lot ",no,"02/10/2016 12:28 AM","SnowPlus Staff","Ernie Vargas"
"Sec 07 - Bensenville","645-651 Supreme","South Side      ,East Side       ","1/16 of lot ",no,"02/10/2016 12:23 AM","SnowPlus Staff","Ernie Vargas"
"Sec 07 - Bensenville","645-651 Supreme","South Side      ,East Side       ","1/16 of lot ",no,"02/10/2016 12:23 AM","SnowPlus Staff","Ernie Vargas"
"Sec 07 - Bensenville","1141 Ellis","North  Side       ,South Side      ","1/16 of lot ",no,"02/10/2016 12:16 AM","SnowPlus Staff","Ernie Vargas"
